price,area,address,Mã tin,Hướng,Phòng ăn,Loại tin,Đường trước nhà,Nhà bếp,Loại BDS,Pháp lý,Sân thượng,Chiều ngang,Số lầu,Chổ để xe hơi,Chiều dài,Số phòng ngủ,Chính chủ
 14 tỷ , 150 m, Đường Kim Mã. Phường Kim Mã. Quận Ba Đình. Hà Nội,12180451,Đông,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"8,3m",1,---,"18,6m",2,---
 5.2 tỷ , 40 m, Đường Nguyễn Chí Thanh. Phường Láng Thượng. Quận Đống Đa. Hà Nội,11117463,_,---,Cần bán,5m,---,Nhà trong hẻm,---,---,---,4,---,---,3,---
 25.8 tỷ , 55 m, Đường Nguyễn Văn Huyên. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,12180443,_,,Cần bán,40m,,Nhà mặt tiền,---,,5m,7,,11m,6,---
 6 tỷ , 35 m, Phố Chùa Láng. Phường Láng Thượng. Quận Đống Đa. Hà Nội,11139789,_,---,Cần bán,3m,---,Nhà trong hẻm,---,---,---,5,---,---,4,---
 4.3 tỷ , 20 m, Phố Lý Thường Kiệt. Phường Trần Hưng Đạo. Quận Hoàn Kiếm. Hà Nội,10935956,_,---,Cần bán,2m,,Nhà trong hẻm,---,,---,5,---,---,3,---
 3.9 tỷ , 25 m, Phố Tôn Đức Thắng. Phường Hàng Bột. Quận Đống Đa. Hà Nội,10796708,_,---,Cần bán,3m,---,Nhà trong hẻm,---,---,---,5,---,---,4,---
 4.6 tỷ , 46 m, Đường Kim Giang. Phường Kim Giang. Quận Thanh Xuân. Hà Nội,10975574,_,---,Cần bán,0m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,5,---,---,4,---
 3.8 tỷ , 60 m, Phố Hồng Mai. Phường Quỳnh Lôi. Quận Hai Bà Trưng. Hà Nội,12122217,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,4,---,---,2,---
 2.95 tỷ , 35 m, Đường Hoàng Mai. Phường Hoàng Văn Thụ. Quận Hoàng Mai. Hà Nội,11815691,_,---,Cần bán,"2,5m",---,Nhà trong hẻm,---,---,---,4,---,---,4,---
 6 tỷ , 50 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,12104782,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,4m",4,,"9,4m",4,---
 1.95 tỷ , 42 m, Đường Đông Thiên. Phường Vĩnh Hưng. Quận Hoàng Mai. Hà Nội,11815813,_,---,Cần bán,"2,5m",---,Nhà trong hẻm,---,---,---,3,---,---,3,---
 8.88 tỷ , 63 m, Phố Thái Hà. Phường Trung Liệt. Quận Đống Đa. Hà Nội,11816809,Nam,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,3,,---,3,---
 8.8 tỷ , 33 m, Phố Thái Thịnh 1. Phường Ngã Tư Sở. Quận Đống Đa. Hà Nội,11814510,_,,Cần bán,"4,5m",,Nhà trong hẻm,---,,---,6,---,---,4,---
 1.9 tỷ , 21 m, Phố Kim Ngưu. Phường Thanh Nhàn. Quận Hai Bà Trưng. Hà Nội,11851130,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,---,---,3,---
 5.05 tỷ , 64 m, Phố Nguyễn Đình Hoàn. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11867064,_,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,3,---,---,3,---
 5.35 tỷ , 32 m, Phố Nguyễn Đình Hoàn. Phường Nghĩa Đô. Quận Cầu Giấy. Hà Nội,11866639,_,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,6,---,---,4,---
 6.1 tỷ , 36 m, Đường Nguyễn Khang. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,11863805,Đông Nam,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,---,---,4,---
 3.999 tỷ , 30 m, Đường Nguyễn Khang. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,11863947,Nam,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,---,---,4,---
 5.5 tỷ , 35 m, Phố Thái Thịnh. Phường Thịnh Quang. Quận Đống Đa. Hà Nội,11853662,_,,Cần bán,3m,,Nhà trong hẻm,---,,---,4,---,---,4,---
 4.8 tỷ , 36 m, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,11856112,Đông Nam,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,---,---,6,---
 5.6 tỷ , 38 m, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,11856309,Đông,,Cần bán,3m,,Nhà trong hẻm,---,,---,5,---,---,3,---
 4.86 tỷ , 35 m, Đường Yên Lãng. Phường Láng Hạ. Quận Đống Đa. Hà Nội,11876134,_,,Cần bán,3m,,Nhà trong hẻm,---,,---,4,---,---,3,---
 3.2 tỷ , 21 m, Đường Nguyễn Chí Thanh. Phường Láng Thượng. Quận Đống Đa. Hà Nội,11875916,_,,Cần bán,2m,,Nhà trong hẻm,---,,---,4,---,---,2,---
 3 tỷ , 26 m, Đường La Thành. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,11899099,_,,Cần bán,"1,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,---,---,2,---
 7.6 tỷ , 50 m, Đường Cầu Giấy. Phường Quan Hoa. Quận Cầu Giấy. Hà Nội,11901936,Tây Nam,---,Cần bán,2m,---,"Phòng trọ, nhà trọ",Sổ hồng/ Sổ đỏ,---,---,5,---,---,9,---
 5.3 tỷ , 37 m, Đường Thịnh Quang. Phường Thịnh Quang. Quận Đống Đa. Hà Nội,11905565,Tây,,Cần bán,2m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,---,---,5,---
 10.5 tỷ , 100 m, Đường Khương Trung. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,11212254,_,,Cần bán,15m,,Nhà mặt tiền,---,,3m,2,,33m,3,---
 13.5 tỷ , 113 m, Đường Mễ Trì Thượng. Phường Mễ Trì. Quận Nam Từ Liêm. Hà Nội,11212276,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"6,35m",4,,20m,10,---
 17.5 tỷ , 80 m, Phố Trung Kính. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,11219071,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,8m,6,,10m,15,---
 12 tỷ , 50 m, Đường Nguyễn Xiển. Phường Hạ Đình. Quận Thanh Xuân. Hà Nội,11220659,_,,Cần bán,10m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,6m",4,,12m,4,---
 6 tỷ , 40 m, Đường Nguyễn Trãi. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,11220660,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,2m",5,,8m,4,---
 5.3 tỷ , 50 m, Đường Mễ Trì. Phường Mễ Trì. Quận Nam Từ Liêm. Hà Nội,11240764,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",5,,18m,6,---
 11 tỷ , 50 m, Đường Nguyễn Xiển. Phường Hạ Đình. Quận Thanh Xuân. Hà Nội,11194658,_,,Cần bán,10m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,6m",4,,12m,4,---
 6 tỷ , 40 m, Đường Nguyễn Trãi. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,11194665,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,2m",5,,8m,4,---
 6 tỷ , 40 m, Đường Nguyễn Trãi. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,11167256,_,,Cần bán,"2,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"5,2m",5,,8m,4,---
 16 tỷ , 127 m, Đường Nguyễn Hoàng. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,11166551,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",4,,28m,4,---
 43.5 tỷ , 86 m, Đường Nguyễn Chánh. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,11166622,_,,Cần bán,15m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"5,4m",9,,16m,9,---
 6.6 tỷ , 66 m, Đường Đình Thôn. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,11166407,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"6,5m",3,,10m,4,---
 8.8 tỷ , 55 m, Đường Mỹ Đình. Phường Mỹ Đình 1. Quận Nam Từ Liêm. Hà Nội,11166507,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,,14m,6,---
 5.3 tỷ , 50 m, Đường Mễ Trì. Phường Mễ Trì. Quận Nam Từ Liêm. Hà Nội,11248848,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,5m",5,,14m,6,---
 9.5 tỷ , 60 m, Đường Cầu Giấy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,11248864,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,---,15m,9,---
 14 tỷ , 102 m, Đường Lê Đức Thọ. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,11249047,_,,Cần bán,4m,,"Đất thổ cư, đất ở",Sổ hồng/ Sổ đỏ,,"4,1m",2,,40m,3,---
 17.5 tỷ , 80 m, Phố Trung Kính. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,11247334,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,8m,6,,10m,15,---
 16 tỷ , 127 m, Đường Nguyễn Hoàng. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,11247336,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",4,,28m,4,---
 23 tỷ , 90 m, Phố Quan Nhân. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,11255579,_,,Cần bán,6m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,17m,8,,10m,10,---
 23 tỷ , 90 m, Phố Nhân Hòa. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,11255675,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,17m,8,,10m,10,---
 6 tỷ , 60 m, Phố Bạch Đằng. Phường Bạch Đằng. Quận Hai Bà Trưng. Hà Nội,8957489,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,---,---,3,---
 7.65 tỷ , 65 m, Phố Lý Nam Đế. Phường Cửa Đông. Quận Hoàn Kiếm. Hà Nội,9013471,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3,---,---,4,---
 6 tỷ , 50 m, Đường Minh Khai. Phường Minh Khai. Quận Hai Bà Trưng. Hà Nội,9066149,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,5m,5,---,---,4,---
 10 tỷ , 62 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9070206,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,5,---,---,4,---
 10 tỷ , 40 m, Phố Thái Hà. Phường Láng Hạ. Quận Đống Đa. Hà Nội,8845476,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,6,---,---,4,---
 14 tỷ , 45 m, Phố Mai Anh Tuấn. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9761227,_,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,6m,6,---,---,4,---
 6 tỷ , 52 m, Phố Bạch Đằng. Phường Bạch Đằng. Quận Hai Bà Trưng. Hà Nội,9881146,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,---,---,6,---
 30 tỷ , 90 m, Đường Nguyễn Văn Cừ. Phường Bồ Đề. Quận Long Biên. Hà Nội,9864331,_,,Cần bán,20m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",6,,---,4,---
 5 tỷ , 30 m, Đường Nguyễn Sơn. Phường Bồ Đề. Quận Long Biên. Hà Nội,9900884,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,6m,5,,---,3,---
 6 tỷ , 72 m, Đường Nguyễn Văn Cừ. Phường Bồ Đề. Quận Long Biên. Hà Nội,9901045,_,---,Cần bán,"3,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,4,---,---,4,---
 7 tỷ , 80 m, Đường Định Công Thượng. Phường Định Công. Quận Hoàng Mai. Hà Nội,9535610,_,---,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,5m",4,---,---,4,---
 23 tỷ , 75 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9512370,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,6,---,---,6,---
 20 tỷ , 89 m, Phố Mai Anh Tuấn. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9614505,_,,Cần bán,7m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,---,7,,---,10,---
 14 tỷ , 65 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,9615381,_,,Cần bán,6m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",5,,---,4,---
 5 tỷ , 48 m, Đường Lâm Du. Phường Bồ Đề. Quận Long Biên. Hà Nội,10086034,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",5,,---,5,---
 4.6 tỷ , 52 m, Đường Hoàng Như Tiếp. Phường Bồ Đề. Quận Long Biên. Hà Nội,10074249,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",4,---,---,4,---
 3 tỷ , 35 m, Phố Bồ Đề. Phường Bồ Đề. Quận Long Biên. Hà Nội,10027291,_,---,Cần bán,"2,5m",---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,5m",5,---,---,3,---
 7 tỷ , 70 m, Đường Hoàng Như Tiếp. Phường Bồ Đề. Quận Long Biên. Hà Nội,10011537,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,7m,4,---,---,4,---
 6 tỷ , 50 m, Đường Nguyễn Văn Cừ. Phường Gia Thụy. Quận Long Biên. Hà Nội,10419131,_,,Cần bán,"3,5m",,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",4,---,---,4,---
 3 tỷ , 46 m, Đường Nguyễn Văn Cừ. Phường Bồ Đề. Quận Long Biên. Hà Nội,10412722,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,6m,5,---,---,4,---
 9.2 tỷ , 58 m, Tây Hồ Đường Nguyễn Đình Thi. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,12053536,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"6,8m",4,,---,4,---
 30 tỷ , 120 m, Đường Cầu Giấy. Phường Yên Hòa. Quận Cầu Giấy. Hà Nội,11194234,_,,Cần bán,8m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,6m,6,---,---,4,---
 3.6 tỷ , 48 m, Đường Hoàng Hoa Thám. Phường Vĩnh Phúc. Quận Ba Đình. Hà Nội,11553856,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"6,1m",4,---,---,3,---
 43 tỷ , 106 m, Phố Nguyễn Thái Học. Phường Điện Biên. Quận Ba Đình. Hà Nội,11113642,_,,Cần bán,12m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"4,5m",7,,---,12,---
 34 tỷ , 32 m, Phố Lý Thái Tổ. Phường Lý Thái Tổ. Quận Hoàn Kiếm. Hà Nội,11134027,_,---,Cần bán,10m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"4,1m",4,---,---,6,---
 16 tỷ , 98 m, Phố Võng Thị. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,11641732,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"5,7m",4,---,---,4,---
 36 tỷ , 40 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,11126145,_,,Cần bán,103m,,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,,"8,2m",5,,---,6,---
 3.85 tỷ , 30 m, Đường Thụy Khuê. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,11652095,_,---,Cần bán,3m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,3m,5,---,---,4,---
 2.4 tỷ , 35 m, Đường Bát Khối. Phường Long Biên. Quận Long Biên. Hà Nội,10646577,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,2m",5,---,---,3,---
 3.5 tỷ , 33 m, Đường Thạch Bàn. Phường Thạch Bàn. Quận Long Biên. Hà Nội,10622128,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,5m",5,---,---,4,---
 6 tỷ , 60 m, Đường Bát Khối. Quận Long Biên. Hà Nội,10694377,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,6,,---,4,---
 4.55 tỷ , 41 m, Đường Thạch Bàn. Phường Long Biên. Quận Long Biên. Hà Nội,10533937,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"4,3m",6,,---,3,---
 4 tỷ , 60 m, Đường Ngọc Lâm. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,10775685,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,"3,3m",3,,---,3,---
 4.2 tỷ , 38 m, Đường Ngọc Lâm. Phường Ngọc Lâm. Quận Long Biên. Hà Nội,10756400,_,,Cần bán,3m,,"Biệt thự, nhà liền kề",Sổ hồng/ Sổ đỏ,,"3,5m",5,---,---,3,---
 4.8 tỷ , 45 m, Phố Trạm. Phường Long Biên. Quận Long Biên. Hà Nội,10816461,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,,---,3,---
 1.73 tỷ , 52 m, Đường Bắc Cầu. Phường Ngọc Thụy. Quận Long Biên. Hà Nội,10804647,_,,Cần bán,3m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,5m,2,,---,2,---
 3.7 tỷ , 37 m, Đường Ngô Gia Tự. Phường Long Biên. Quận Long Biên. Hà Nội,10984964,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,,---,4,---
 2.8 tỷ , 35 m, Đường Thạch Bàn. Phường Thạch Bàn. Quận Long Biên. Hà Nội,10975265,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,,---,4,---
 1.75 tỷ , 50 m, Đường Bắc Cầu. Phường Ngọc Thụy. Quận Long Biên. Hà Nội,10974576,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"4,4m",2,,---,2,---
 3.75 tỷ , 50 m, Phố Trạm. Phường Long Biên. Quận Long Biên. Hà Nội,10995299,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,4m,5,,---,4,---
 35 tỷ , 92 m, Đường Vũ Trọng Phụng. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,11860619,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,2m",8,---,18m,22,---
 35.3 tỷ , 95 m, Phố Nhân Hòa. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,11860572,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,5m",8,---,18m,22,---
 35 tỷ , 90 m, Phố Quan Nhân. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,11860687,_,---,Cần bán,8m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,"5,8m",8,---,16m,22,---
 150 tỷ , 300 m, Đường Cầu Giấy. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,11843593,_,---,Cần bán,16m,---,Văn phòng,Sổ hồng/ Sổ đỏ,---,12m,9,---,25m,9,---
 53 tỷ , 166 m, Đường Võ Chí Công. Phường Xuân La. Quận Tây Hồ. Hà Nội,11843686,_,---,Cần bán,16m,---,Văn phòng,Sổ hồng/ Sổ đỏ,---,10m,---,---,"16,6m",10,---
 500 tỷ , 26.200 m, Đường Trịnh Văn Bô. Phường Mỹ Đình 2. Quận Nam Từ Liêm. Hà Nội,11909478,_,---,Cần bán,16m,---,"Đất nền, liền kề, đất dự án",Sổ hồng/ Sổ đỏ,---,200m,---,---,131m,---,---
 1.9 tỷ , 254 m, Đường An Dương Vương. Phường Phú Thượng. Quận Tây Hồ. Hà Nội,11920878,_,---,Cần bán,16m,---,"Đất thổ cư, đất ở",---,---,14m,---,---,18m,---,---
 47.2 tỷ , 80 m, Phố Xã Đàn. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,11935448,_,---,Cần bán,16m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,6m,8,---,13m,8,---
 31.5 tỷ , 60 m, Phố Hoàng Cầu. Phường Ô Chợ Dừa. Quận Đống Đa. Hà Nội,11935711,_,---,Cần bán,16m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,5m,9,---,12m,9,---
 32 tỷ , 250 m, Đường Nguyễn Chí Thanh. Phường Láng Thượng. Quận Đống Đa. Hà Nội,8903682,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,15m,1,---,---,1,---
 25 tỷ , 100 m, Phố Thái Hà. Phường Quang Trung. Quận Đống Đa. Hà Nội,8990554,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,5,---,---,5,---
 13.2 tỷ , 85 m, Phố Tây Sơn. Phường Nam Đồng. Quận Đống Đa. Hà Nội,8985461,_,---,Cần bán,10m,---,Nhà trong hẻm,---,---,6m,4,---,---,4,---
 18.5 tỷ , 60 m, Phố Thái Hà. Phường Quang Trung. Quận Đống Đa. Hà Nội,8985397,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,6m,6,---,---,6,---
 28.5 tỷ , 65 m, Đường Nguyễn Xiển. Phường Thanh Xuân Nam. Quận Thanh Xuân. Hà Nội,8994242,_,---,Cần bán,40m,---,Nhà mặt tiền,---,---,5m,10,---,---,10,---
 26.5 tỷ , 67 m, Đường Vũ Trọng Phụng. Phường Thanh Xuân Trung. Quận Thanh Xuân. Hà Nội,8994286,_,---,Cần bán,40m,---,Nhà mặt tiền,---,---,5m,5,---,---,5,---
 96 tỷ , 155 m, Phố Trần Thái Tông. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,8976950,_,---,Cần bán,15m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,10m,12,---,---,36,---
 24.5 tỷ , 90 m, Phố Duy Tân. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9001272,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,12m,4,---,---,4,---
 30 tỷ , 110 m, Phố Trần Thái Tông. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9001295,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,8m,10,---,---,30,---
 20 tỷ , 130 m, Đường Nguyễn Xiển. Phường Thanh Xuân Bắc. Quận Thanh Xuân. Hà Nội,9080144,_,---,Cần bán,40m,---,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,7m,7,---,---,7,---
 35 tỷ , 90 m, Phố Lê Trọng Tấn. Phường Thanh Xuân Trung. Quận Thanh Xuân. Hà Nội,8746171,_,---,Cần bán,20m,---,Nhà mặt tiền,---,---,5m,7,---,---,7,---
 12.5 tỷ , 90 m, Phố Trần Đại Nghĩa. Phường Đồng Nhân. Quận Hai Bà Trưng. Hà Nội,8795582,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,"6,5m",4,---,---,4,---
 14.8 tỷ , 60 m, Phố Ngụy Như Kon Tum. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,8675478,_,---,Cần bán,10m,---,Nhà mặt tiền,---,---,5m,4,---,---,4,---
 46.5 tỷ , 100 m, Phố Đội cấn. Phường Đội Cấn. Quận Ba Đình. Hà Nội,8509579,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,7m,10,---,---,10,---
 55 tỷ , 150 m, Phố Trích Sài. Phường Thụy Khuê. Quận Tây Hồ. Hà Nội,8458152,_,---,Cần bán,15m,---,Nhà mặt tiền,---,---,10m,5,---,---,5,---
 9 tỷ , 50 m, Phố Nhân Hòa. Phường Nhân Chính. Quận Thanh Xuân. Hà Nội,9284534,_,---,Cần bán,8m,---,Nhà trong hẻm,---,---,5m,7,---,---,7,---
 10.8 tỷ , 85 m, Đường Láng. Phường Láng Thượng. Quận Đống Đa. Hà Nội,9918563,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,4m,3,---,---,4,---
 14 tỷ , 70 m, Phố Trung Kính. Phường Trung Hòa. Quận Cầu Giấy. Hà Nội,9908656,_,---,Cần bán,6m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,6m,7,---,---,7,---
 28 tỷ , 155 m, Phố Hoàng Văn Thái. Phường Khương Trung. Quận Thanh Xuân. Hà Nội,9916978,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,4,---,---,4,---
 49.5 tỷ , 130 m, Phố Trần Thái Tông. Phường Dịch Vọng. Quận Cầu Giấy. Hà Nội,9910479,_,---,Cần bán,10m,---,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,"7,5m",6,---,---,6,---
 8.3 tỷ , 45 m, Phố Đội cấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,12138052,_,,Cần bán,6m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,,"3,4m",4,---
 8.75 tỷ , 50 m, Đường Đào Tấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,12144076,_,,Cần bán,5m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,5,,4m,4,---
 5.4 tỷ , 40 m, Phố Đội cấn. Phường Cống Vị. Quận Ba Đình. Hà Nội,12144051,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,,"3,1m",4,---
 8.5 tỷ , 48 m, Đường Lạc Long Quân. Phường Bưởi. Quận Tây Hồ. Hà Nội,12182493,_,,Cần bán,4m,,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,,---,4,,"5,2m",3,---
